name,neighbourhood,room_type,accommodates,property_type,amenities,price,is_available_next_2_days
Chic Sellwood Condo - 1Br/1.5 Ba/2story w pullout.,Sellwood-Moreland Improvement League,Entire home/apt,4,Entire condominium (condo),"\"\"\"Portable fans\"\"& \"\"Security cameras on property\"\"& \"\"Pour-over coffee\"\"& \"\"Coffee maker\"\"& \"\"Waterfront\"\"& \"\"Bikes\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Alexa sound system\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Stainless steel oven\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Dishes and silverware\"\"& \"\"Electric stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Safe\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Private patio or balcony\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Free parking on premises\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Clothing storage: walk-in closet and closet\"\"& \"\"Free washer \\u2013 In unit\"\"\"",$142.00,True
"Family-friendly, Modern Apartment Next to Park",King,Entire home/apt,4,Entire condominium (condo),"\"\"\"Outlet covers\"\"& \"\"Portable fans\"\"& \"\"Single level home\"\"& \"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Portable air conditioning\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Microwave\"\"& \"\"Portable two burner stove electric stove\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"GE refrigerator\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Cleaning products\"\"& \"\"46\\\"\" HDTV with Roku& HBO Max& Netflix\"\"& \"\"Private entrance\"\"& \"\"Game console: Xbox 360\"\"& \"\"High chair\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Generic body soap & shampoo& conditioner body soap\"\"& \"\"Toaster\"\"& \"\"Room-darkening shades\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Generic shampoo\"\"& \"\"Dishwasher\"\"& \"\"Dining table\"\"& \"\"Fire extinguisher\"\"\"",$136.00,FALSE
Quiet Sunnyside Bungalow,Sunnyside,Entire home/apt,7,Entire residential home,"\"\"\"Coffee maker\"\"& \"\"Portable air conditioning\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Bidet\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Clothing storage: dresser& closet& and walk-in closet\"\"& \"\"Dishes and silverware\"\"& \"\"Coldspot refrigerator\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Private fenced garden or backyard\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Children\\u2019s books and toys for ages 0-2 years old& 2-5 years old& 5-10 years old& and 10+ years old\"\"& \"\"Conditioner\"\"& \"\"Viking stainless steel oven\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Bread maker\"\"& \"\"Free parking on premises\"\"& \"\"Toaster\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Window AC unit\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Viking gas stove\"\"& \"\"Dining table\"\"& \"\"Children\\u2019s dinnerware\"\"& \"\"Baking sheet\"\"& \"\"Rice maker\"\"& \"\"Fire extinguisher\"\"\"",$250.00,FALSE
"Spacious, Bright Studio",Piedmont,Entire home/apt,4,Entire guest suite,"\"\"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Outdoor furniture\"\"& \"\"Breakfast\"\"& \"\"Private entrance\"\"& \"\"Shared fenced garden or backyard\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Shared patio or balcony\"\"\"",$69.00,True
"Private urban retreat, new build, 1bedroom, sleep4",Woodlawn,Entire home/apt,4,Entire guesthouse,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Free street parking\"\"& \"\"Children\\u2019s books and toys for ages 0-2 years old and 2-5 years old\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Keypad\"\"& \"\"Stainless steel oven\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Clothing storage: wardrobe and dresser\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Ceiling fan\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Freezer\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Dining table\"\"\"",$139.00,True
Bright and beautiful 2 bedroom Loft,Northwest District,Entire home/apt,4,Entire loft,"\"\"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Clothing storage: closet\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Stainless steel oven\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stainless steel electric stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Safe\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Breakfast\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Baking sheet\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"& \"\"Keurig coffee machine\"\"\"",$104.00,FALSE
Newly remodeled Guest studio,Piedmont,Entire home/apt,2,Entire guesthouse,"\"\"\"Single level home\"\"& \"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: closet\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Free parking on premises\"\"& \"\"Mini fridge\"\"& \"\"Oven\"\"& \"\"Room-darkening shades\"\"& \"\"Bed linens\"\"& \"\"TV with Apple TV\"\"& \"\"Outdoor dining area\"\"& \"\"BBQ grill\"\"& \"\"Shared patio or balcony\"\"\"",$63.00,FALSE
Sunny one bedroom flat  with private yard,Hayhurst,Entire home/apt,3,Entire guesthouse,"\"\"\"Portable fans\"\"& \"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: closet\"\"& \"\"Free street parking\"\"& \"\"Fire pit\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Free driveway parking on premises \\u2013 1 space\"\"& \"\"Body soap\"\"& \"\"Dishes and silverware\"\"& \"\"Electric stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Kitchen Aid - no freezer refrigerator\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Mini fridge\"\"& \"\"Oven\"\"& \"\"Room-darkening shades\"\"& \"\"Bed linens\"\"& \"\"Window AC unit\"\"& \"\"Dishwasher\"\"& \"\"Outdoor dining area\"\"& \"\"Patio or balcony\"\"\"",$132.00,True
"NEW! Artsy PNW Home w/ Hot Tub, Half Mi to River!",Boise,Entire home/apt,5,Entire residential home,"\"\"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Hot tub\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Dishwasher\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$247.00,True
Backyard Garden Studio,Arbor Lodge,Entire home/apt,2,Entire guesthouse,"\"\"\"Single level home\"\"& \"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Clothing storage: wardrobe\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Free street parking\"\"& \"\"Keypad\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Meyer\\u2019s body soap\"\"& \"\"Central air conditioning\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private fenced garden or backyard\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Private patio or balcony\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Meyer\\u2019s shampoo\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Meyer\\u2019s conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Mini fridge\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Fire extinguisher\"\"& \"\"Keurig coffee machine\"\"\"",$71.00,True
Charming Crafstman Suite with Sitting Area and AC!,Laurelhurst,Private room,2,Private room in residential home,"\"\"\"Portable fans\"\"& \"\"Laundromat nearby\"\"& \"\"Ethernet connection\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Barbecue utensils\"\"& \"\"Keypad\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Drying rack for clothing\"\"& \"\"Beach essentials\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"BBQ grill\"\"& \"\"Clothing storage\"\"& \"\"Carbon monoxide alarm\"\"& \"\"First aid kit\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Private fenced garden or backyard\"\"& \"\"Dedicated workspace: desk and office chair\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Mini fridge\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Baking sheet\"\"& \"\"Outdoor dining area\"\"& \"\"Rice maker\"\"& \"\"Fire extinguisher\"\"& \"\"Shared patio or balcony\"\"\"",$48.00,FALSE
Finch Studio Cottage in Montavilla,Montavilla,Entire home/apt,2,Entire guesthouse,"\"\"\"Single level home\"\"& \"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Clothing storage: wardrobe\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Board games\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Central air conditioning\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Shared fenced garden or backyard\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Mini fridge\"\"& \"\"Oven\"\"& \"\"Free parking on premises\"\"& \"\"Toaster\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dining table\"\"& \"\"Baking sheet\"\"& \"\"Outdoor dining area\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Shared patio or balcony\"\"\"",$75.00,True
Urban Charmer Close to Restaurants and Shops,Northwest District,Entire home/apt,9,Entire residential home,"\"\"\"Portable fans\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Children\\u2019s books and toys for ages 0-2 years old and 2-5 years old\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Keypad\"\"& \"\"Stainless steel oven\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Toaster\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$320.00,FALSE
*30 day min - Beautiful Historic Irvington  - Pdx,Irvington,Entire home/apt,6,Entire residential home,"\"\"\"Laundromat nearby\"\"& \"\"Pour-over coffee\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: closet\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Barbecue utensils\"\"& \"\"Stainless steel oven\"\"& \"\"Body soap\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Cleaning products\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Private garden or backyard\"\"& \"\"Baking sheet\"\"& \"\"Outdoor dining area\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"\"",$160.00,FALSE
St. John’s/cathedral park getaway,St. Johns,Entire home/apt,4,Entire guest suite,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Board games\"\"& \"\"Fire pit\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Dishes and silverware\"\"& \"\"Clothing storage\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Shared fenced garden or backyard\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Baking sheet\"\"& \"\"Fire extinguisher\"\"\"",$96.00,True
Charming historic house close to parks + MAX,Humboldt,Private room,2,Private room in residential home,"\"\"\"Outdoor dining area\"\"& \"\"Dedicated workspace: desk\"\"& \"\"Cooking basics\"\"& \"\"Free dryer \\u2013 In building\"\"& \"\"Hair dryer\"\"& \"\"Free street parking\"\"& \"\"Clothing storage: walk-in closet\"\"& \"\"Fire pit\"\"& \"\"Kitchen\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Record player\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Trader Joe\\u2019s body soap\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Lock on bedroom door\"\"& \"\"Free washer \\u2013 In unit\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"\"",$99.00,True
"1 Bedroom + Flex Room - Bright, Modern Pearl Condo",Pearl,Entire home/apt,4,Entire condominium (condo),"\"\"\"Outlet covers\"\"& \"\"Single level home\"\"& \"\"Baby bath\"\"& \"\"GE stainless steel oven\"\"& \"\"Elevator\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Board games\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Clothing storage: wardrobe& dresser& walk-in closet& and closet\"\"& \"\"Dishes and silverware\"\"& \"\"GE stainless steel gas stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Host greets you\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Paid street parking off premises\"\"& \"\"Long term stays allowed\"\"& \"\"Kenmore refrigerator\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Babysitter recommendations\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Dining table\"\"& \"\"Baking sheet\"\"& \"\"Outdoor dining area\"\"& \"\"Fire extinguisher\"\"& \"\"Shared patio or balcony\"\"\"",$118.00,True
Riverfront Condo with pool & hot tub!,Old Town/Chinatown,Entire home/apt,4,Entire condominium (condo),"\"\"\"Kirkland body soap\"\"& \"\"HDTV with HBO Max& Apple TV& Netflix& Amazon Prime Video\"\"& \"\"Laundromat nearby\"\"& \"\"Outdoor dining area\"\"& \"\"Ethernet connection\"\"& \"\"Coffee maker\"\"& \"\"Waterfront\"\"& \"\"Cooking basics\"\"& \"\"Board games\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: closet\"\"& \"\"Iron\"\"& \"\"Dedicated workspace: office chair& table& desk& and monitor\"\"& \"\"Fire pit\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Keypad\"\"& \"\"Extra pillows and blankets\"\"& \"\"Drying rack for clothing\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Dishes and silverware\"\"& \"\"Central air conditioning\"\"& \"\"Free carport on premises \\u2013 1 space\"\"& \"\"First aid kit\"\"& \"\"Electric stove\"\"& \"\"Shared pool\"\"& \"\"Fast wifi \\u2013 115 Mbps\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Shared hot tub\"\"& \"\"Hot water\"\"& \"\"Paid street parking off premises\"\"& \"\"EV charger\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Baking sheet\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Mini fridge\"\"& \"\"Oven\"\"& \"\"Toaster\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Kirkland shampoo\"\"& \"\"Free washer \\u2013 In unit\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Keurig coffee machine\"\"& \"\"Kirkland conditioner\"\"\"",$139.00,True
Stylish 1BR garden guesthouse with patio near UofP,University Park,Entire home/apt,2,Entire guesthouse,"\"\"\"Single level home\"\"& \"\"Clothing storage: closet and dresser\"\"& \"\"Coffee maker\"\"& \"\"Dedicated workspace: desk\"\"& \"\"Cooking basics\"\"& \"\"42\\\"\" HDTV with HBO Max& Netflix& Roku\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Stainless steel oven\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Dishes and silverware\"\"& \"\"Stainless steel electric stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Hot water\"\"& \"\"Wifi \\u2013 36 Mbps\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Private patio or balcony\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Radiant heating\"\"& \"\"Baking sheet\"\"& \"\"Fire extinguisher\"\"\"",$80.00,True
